iteration	particle_num	MCS_value	fitness_value	original_fitness_value
0	0	0.999	25841.7	25841.7
0	1	1	25556.6	25556.6
0	2	0.998	25373.5	25373.5
0	3	0.999	25555.2	25555.2
0	4	0.999	25694.5	25694.5
0	5	0.996	25653.3	25653.3
0	6	0.992	25467.3	25467.3
0	7	0.989	25513.7	25513.7
0	8	1	25457.5	25457.5
0	9	0.994	25598.9	25598.9
0	10	1	25639.3	25639.3
0	11	0.998	25604.1	25604.1
0	12	0.996	25641.9	25641.9
0	13	0.997	25606.5	25606.5
0	14	1	25652.7	25652.7
0	15	0.999	25610.1	25610.1
0	16	0.997	25490.7	25490.7
0	17	1	25479.7	25479.7
0	18	0.998	25698.4	25698.4
0	19	1	25508.9	25508.9
0	20	0.994	25431.9	25431.9
0	21	0.999	25493.6	25493.6
0	22	0.999	25624.9	25624.9
0	23	0.997	25465.9	25465.9
0	24	0.99	25647.2	25647.2
0	25	0.999	25541.8	25541.8
0	26	0.999	25680	25680
0	27	0.997	25490.7	25490.7
0	28	0.997	25569.8	25569.8
0	29	1	25615.2	25615.2
0	30	1	25586.1	25586.1
0	31	0.998	25224.3	25224.3
0	32	0.998	25701.8	25701.8
0	33	0.998	25786.6	25786.6
0	34	0.998	25733.2	25733.2
0	35	0.998	25309.7	25309.7
0	36	0.999	25651.5	25651.5
0	37	0.996	25679.4	25679.4
0	38	0.994	25604.9	25604.9
0	39	0.998	25530.8	25530.8
0	40	0.998	25477.5	25477.5
0	41	0.995	25301	25301
0	42	0.999	25310	25310
0	43	0.999	25573.3	25573.3
0	44	0.995	25803.7	25803.7
0	45	0.998	25596.7	25596.7
0	46	0.996	inf	inf
0	47	0.994	25512.4	25512.4
0	48	1	25489.5	25489.5
0	49	0.999	25868.2	25868.2
0	50	0.994	25551.2	25551.2
0	51	0.999	25597.6	25597.6
0	52	0.999	25664.9	25664.9
0	53	0.998	25729.9	25729.9
0	54	0.998	25849.1	25849.1
0	55	0.997	25760.1	25760.1
0	56	0.999	25484.5	25484.5
0	57	1	25467.7	25467.7
0	58	0.999	25491.5	25491.5
0	59	0.998	25456.7	25456.7
0	60	0.999	25231.6	25231.6
0	61	0.999	25618.7	25618.7
0	62	1	25422.4	25422.4
0	63	0.998	25446.3	25446.3
0	64	0.992	25563.8	25563.8
0	65	0.991	25500.6	25500.6
0	66	0.997	25509.4	25509.4
0	67	1	25440.9	25440.9
0	68	0.992	25367.5	25367.5
0	69	0.999	25611.9	25611.9
0	70	0.994	25473.1	25473.1
0	71	0.996	25475.5	25475.5
0	72	0.999	25501.8	25501.8
0	73	0.999	25399.7	25399.7
0	74	0.998	25533.6	25533.6
0	75	0.999	25620.7	25620.7
0	76	0.999	25490.5	25490.5
0	77	0.996	25443.6	25443.6
0	78	0.998	25713.5	25713.5
0	79	1	25697	25697
0	80	1	25678.2	25678.2
0	81	0.998	25544.1	25544.1
0	82	0.996	25897.3	25897.3
0	83	0.996	25839	25839
0	84	0.996	25451	25451
0	85	0.99	25430.4	25430.4
0	86	0.994	25460	25460
0	87	1	25630.2	25630.2
0	88	0.994	25700.7	25700.7
0	89	0.998	25571.1	25571.1
0	90	0.999	25650.3	25650.3
0	91	0.994	25373.4	25373.4
0	92	0.999	25505.4	25505.4
0	93	1	25606.6	25606.6
0	94	0.992	25413	25413
0	95	0.995	25417.9	25417.9
0	96	0.996	25612.3	25612.3
0	97	0.997	25351.6	25351.6
0	98	0.996	25436.1	25436.1
0	99	0.994	25509.4	25509.4
0	100	0.993	25574.7	25574.7
0	101	0.99	25512.5	25512.5
0	102	0.999	25688.9	25688.9
0	103	1	25945.9	25945.9
0	104	0.997	25561.3	25561.3
0	105	0.994	25521.2	25521.2
0	106	0.999	25651.3	25651.3
0	107	0.999	25649.8	25649.8
0	108	0.999	25335.3	25335.3
0	109	1	25445.6	25445.6
0	110	0.999	25189.5	25189.5
0	111	0.997	25776.9	25776.9
0	112	0.998	25601.3	25601.3
0	113	1	25899.1	25899.1
0	114	0.999	25659.4	25659.4
0	115	0.988	25466.5	25466.5
0	116	1	25473	25473
0	117	0.996	25418.6	25418.6
0	118	1	25855.7	25855.7
0	119	0.995	25620.7	25620.7
0	120	0.996	25578.1	25578.1
0	121	1	25613.9	25613.9
0	122	0.996	25800.1	25800.1
0	123	0.996	25510.8	25510.8
0	124	0.994	25251.1	25251.1
0	125	0.998	25437.1	25437.1
0	126	1	25791.4	25791.4
0	127	0.998	25445.8	25445.8
0	128	0.997	25643.7	25643.7
0	129	0.999	25413.9	25413.9
0	130	0.997	25431.4	25431.4
0	131	0.999	25480.9	25480.9
0	132	1	25551.7	25551.7
0	133	0.995	25500	25500
0	134	1	25620.2	25620.2
0	135	0.998	25560.8	25560.8
0	136	0.996	25517.5	25517.5
0	137	0.997	25464.3	25464.3
0	138	1	25767.4	25767.4
0	139	0.999	25536	25536
0	140	0.993	25596.6	25596.6
0	141	1	25646.2	25646.2
0	142	1	25766.4	25766.4
0	143	0.992	25435.5	25435.5
0	144	0.999	25757.4	25757.4
0	145	0.998	25492.7	25492.7
0	146	0.995	25472.3	25472.3
0	147	0.998	25626.9	25626.9
0	148	0.997	25424.9	25424.9
0	149	1	25696.5	25696.5
0	150	1	25566.8	25566.8
0	151	0.999	25912.4	25912.4
0	152	0.999	25726.8	25726.8
0	153	0.996	25642.7	25642.7
0	154	1	25569.5	25569.5
0	155	1	25510.9	25510.9
0	156	0.999	25500.9	25500.9
0	157	1	25421.6	25421.6
0	158	0.995	25537	25537
0	159	0.998	25419.3	25419.3
0	160	0.997	25356.9	25356.9
0	161	0.997	25464.9	25464.9
0	162	0.994	25564.2	25564.2
0	163	0.998	25435.3	25435.3
0	164	0.996	25540.5	25540.5
0	165	0.999	25858.5	25858.5
0	166	0.998	25796.6	25796.6
0	167	0.996	25624.1	25624.1
0	168	1	25671.6	25671.6
0	169	0.998	25659	25659
0	170	1	25596.2	25596.2
0	171	0.993	25615.2	25615.2
0	172	0.995	25547.9	25547.9
0	173	0.994	25349.3	25349.3
0	174	1	25714.2	25714.2
0	175	0.995	25428.8	25428.8
0	176	0.994	25653.6	25653.6
0	177	1	25509.7	25509.7
0	178	0.998	25560.4	25560.4
0	179	0.996	25602.1	25602.1
0	180	0.994	25436.1	25436.1
0	181	0.995	25645.2	25645.2
0	182	0.999	25701.7	25701.7
0	183	0.999	25383.9	25383.9
0	184	1	25426.9	25426.9
0	185	0.995	25632.3	25632.3
0	186	0.996	25629.2	25629.2
0	187	0.997	25628.9	25628.9
0	188	0.997	25609.3	25609.3
0	189	1	25561.3	25561.3
0	190	1	25657.2	25657.2
0	191	0.999	25458.6	25458.6
0	192	0.997	25506.5	25506.5
0	193	0.993	25185.2	25185.2
0	194	0.995	25679.5	25679.5
0	195	0.993	25493.3	25493.3
0	196	0.999	25735.8	25735.8
0	197	0.998	25442.9	25442.9
0	198	0.996	25370.2	25370.2
0	199	0.996	25406	25406
0	200	0.992	25377.9	25377.9
0	201	0.997	25544.7	25544.7
0	202	0.999	25655	25655
0	203	1	25835.8	25835.8
0	204	0.996	25341.8	25341.8
0	205	1	25872.4	25872.4
