i	MCS_VAR	fitness_var	original_fitness_var
0	0.00645018	80.4735	80.4735
1	0.0121078	nan	nan
2	0.0116591	nan	nan
3	0.010923	nan	nan
4	0.0105285	nan	nan
5	0.00844112	nan	nan
6	0.00765342	nan	nan
7	0.00806899	nan	nan
8	0.00635058	nan	nan
9	0.00703872	nan	nan
10	0.00671471	nan	nan
11	0.00689017	nan	nan
12	0.00716899	nan	nan
13	0.00730749	nan	nan
14	0.0065304	nan	nan
15	0.00822857	nan	nan
16	0.00677975	35.7811	19.779
17	0.00722097	nan	nan
18	0.00730496	147.879	9.98318
19	0.00624199	133.632	4.87275
20	0.00677863	232.202	5.4207
21	0.00698211	nan	nan
22	0.00733603	344.935	5.29963
23	0.00660747	364.57	4.81084
24	0.00659847	334.776	4.61368
25	0.00659535	381.706	4.52326
26	0.00627395	367.134	4.70009
27	0.00731479	440.494	5.25959
28	0.00773255	495.83	5.38683
29	0.00768683	503.08	4.98334
30	0.00710106	418.492	4.25652
31	0.00767413	472.185	3.78132
32	0.00728693	465.812	3.72374
33	0.00720754	483.601	4.48134
34	0.00858105	578.114	4.52392
35	0.00658554	423.288	3.92721
36	0.00839014	558.597	3.23774
37	0.00713442	460.637	2.55736
38	0.00744663	498.38	2.81138
39	0.00737564	451.547	3.26488
40	0.00823848	544.489	2.75774
41	0.00829811	511.048	2.4412
42	0.00718939	522.604	2.48102
43	0.00801864	538.81	2.36321
44	0.00770211	540.387	2.29946
45	0.00653642	466.302	2.06622
46	0.00801187	561.29	2.11806
47	0.00777977	493.133	2.35539
48	0.00734013	488.919	2.42958
49	0.00606721	441.197	2.24511
50	0.00734565	534.03	1.86037
51	0.0077084	550.53	1.53106
52	0.00835755	555.137	1.76275
53	0.00785691	522.784	1.80777
54	0.00709225	493.799	1.81673
55	0.00710386	480.869	1.82589
56	0.00692449	523.598	1.57613
57	0.00773947	566.687	1.6841
58	0.0074461	568.678	1.62616
59	0.00818684	581.25	1.62284
60	0.00790648	593.839	1.66232
61	0.0074111	530.143	1.52884
62	0.00732594	524.813	1.56503
63	0.008983	684.497	1.51626
64	0.00819146	606.666	1.47531
65	0.0080346	590.297	1.40089
66	0.00820289	633.708	1.50731
67	0.00736901	507.622	1.3483
68	0.00826165	640.573	1.39954
69	0.00717677	533.48	1.65784
70	0.00776844	570.02	1.72866
71	0.00814398	590.091	1.44059
72	0.00658396	497.031	1.01255
73	0.00682752	513.633	1.00684
74	0.00791477	607.651	1.29344
75	0.00763508	554.918	1.77186
76	0.00647128	490.821	2.066
77	0.0066726	479.27	1.97584
78	0.00731197	523.064	1.45251
79	0.00854313	630.347	1.25805
80	0.00699972	517.142	1.09718
81	0.00720103	528.447	1.04203
82	0.00872654	618.151	1.08504
83	0.00810089	626.7	0.928238
84	0.00717247	538.154	1.03593
85	0.00823829	600.639	1.19076
86	0.00667972	509.776	0.940708
87	0.00760032	571.54	0.916159
88	0.00735319	559.818	0.999844
89	0.00838894	625.235	0.974443
90	0.00799984	636.923	0.988965
91	0.00754979	575.905	1.02969
92	0.00792606	589.591	0.976826
93	0.00756104	551.701	0.850526
94	0.00752038	546.351	0.831785
95	0.00769379	591.274	0.8354
96	0.00813323	622.482	0.879123
97	0.00649885	486.226	0.965308
98	0.00835702	599.783	0.899186
99	0.00712386	538.989	0.854967
